nome_fantasia;cnae_principal;municipio-id;estado-sigla;bairro
MINIMERCADO E PADARIA SABOR REAL;4712100;4302105;RS;SAO ROQUE
MINIMERCADO MARI;4712100;4302105;RS;FENAVINHO
AGROPET CONFECCOES DEBONA & ANDREUZZI;4789004;4302105;RS;LICORSUL
MINIMERCADO SANTOS;4712100;4302105;RS;BORGO
MINI MERCADO MUNICIPAL;4712100;4302105;RS;MUNICIPAL
ESSENCE CONSULTORIO VETERINARIO;7500100;4302105;RS;SAO ROQUE
MINIMERCADO GODINHO;4712100;4302105;RS;MUNICIPAL
MIO PET ESPACO ANIMAL;9609207;4302105;RS;BOTAFOGO
BICHO DE LUXO ESTETICA ANIMAL E BOUTIQUE;4789004;4302105;RS;UNIVERSITARIO
ESTETICA E BELEZA ANIMAL;9609208;4302105;RS;BORGO
BIAMAR PETS;9609208;4302105;RS;SAO ROQUE
MERCADO ARCO IRIS;4712100;4302105;RS;VILA NOVA II
MINE MERCADO TIBURSKI;4712100;4302105;RS;VILA NOVA II
PATAS E PEGADAS PET SHOP;4789004;4302105;RS;SANTA HELENA
CHULAS BAR;4712100;4302105;RS;VILA NOVA
AGROPET 4 PATAS;4789004;4302105;RS;UNIVERSITARIO
IMPERIO DO BANHO;9609208;4302105;RS;SAO FRANCISCO
SUL AGRO - PET;4789004;4302105;RS;JARDIM GLORIA
IMEC;4691500;4302105;RS;CIDADE ALTA
VILLA ANIMAL;7500100;4302105;RS;BORGO
PET MAIS;9609208;4302105;RS;SAO ROQUE
MERCADO SANTA HELENA IV;4712100;4302105;RS;FATIMA
AGROPECUARIA SERRANA;4771704;4302105;RS;UNIVERSITARIO
SAUDE ANIMAL;7500100;4302105;RS;IMIGRANTE
AGROFENIXAGROPECUARIA;4789004;4302105;RS;CIDADE ALTA
AMARE CONSULTORIO VETERINARIO;4789004;4302105;RS;PROGRESSO
LM COMERCIO;4712100;4302105;RS;FENAVINHO
B & G PET SHOP;9609208;4302105;RS;PROGRESSO
VETUS;4771704;4302105;RS;MARIA GORETTI
HOSPETDAGEM;9609208;4302105;RS;COHAB
PET DA NATY;4789004;4302105;RS;ZATT
MINIMERCADO CASANOSTRA;4712100;4302105;RS;SANTA MARTA
SUPERMERCADOS APOLO;4711302;4302105;RS;CIDADE ALTA
MINIMERCADO MAGRAO;4712100;4302105;RS;MUNICIPAL
AMIGO TRAVESSO;4789004;4302105;RS;CIDADE ALTA
MERCADO BARRACAO;4711302;4302105;RS;SAO ROQUE
LAMBE LAMBE PET SHOP;9609208;4302105;RS;SAO FRANCISCO
MERCE 122;4712100;4302105;RS;CIDADE ALTA
CLARICE GONSALVES;8011102;4302105;RS;BOTAFOGO
HORTIFRUTI DA FAMILIA;4711302;4302105;RS;APARECIDA
MINI MERCADO QUEIROZ;4712100;4302105;RS;POMAROSA
EMPORIO MORAES;4712100;4302105;RS;COHAB
CLICK E TREINE;9609207;4302105;RS;HUMAITA
CAVA EMPORIO;4712100;4302105;RS;SAO BENTO
LARESSA LORRAINE PEREIRA CARNEIRO;9609207;4302105;RS;HUMAITA
CAMI SERVICOS PET;4789004;4302105;RS;SANTA MARTA
CANTINHO DOS ANIMAIS;4789004;4302105;RS;OURO VERDE
DEUS E FIEL;4712100;4302105;RS;FATIMA
J F COMERCIO DE ARTIGOS E ALIMENTOS PARA ANIMAIS;4789004;4302105;RS;VINHEDOS
SBC;4691500;4302105;RS;IMIGRANTE
MERCADO CASABON;4712100;4302105;RS;COHAB
MERCADO SAO JOAO;4711302;4302105;RS;UNIVERSITARIO
GATO MIMADO HOTEL PARA GATOS;9609208;4302105;RS;SAO ROQUE
LANCHERIA PARADA DO LANCHE;4712100;4302105;RS;VILA NOVA
BENTO AGROPET;4789004;4302105;RS;SAO VENDELINO
SIBEM BANHO E TOSA;9609208;4302105;RS;CENTRO
SABRINA BANHISTA DE ANIMAIS;9609208;4302105;RS;SAO BENTO
M.P;4712100;4302105;RS;OURO VERDE
PET SHOP HORA DO BANHO;4789004;4302105;RS;CIDADE ALTA
MINIMERCADO E ACOUGUE PROGRESSO;4712100;4302105;RS;PROGRESSO
SUPERMERCADO GREPAR;4711302;4302105;RS;JUVENTUDE DA ENOLOGIA
MAXI COMPRA;4711302;4302105;RS;BORGO
AGROPET J.A. GUNTZEL;4789004;4302105;RS;VINHEDOS
CANTINHO DOS ANIMAIS;4789004;4302105;RS;BOTAFOGO
PONTO DA FRUTA;4712100;4302105;RS;SANTO ANTAO
HAKUNA MATATA CENTRO ESTETICO ANIMAL;9609208;4302105;RS;CENTRO
O SEGREDO DOS ANIMAIS;4789004;4302105;RS;CENTRO
MIMOS PRESENTES;4712100;4302105;RS;SANTA HELENA
DOIS Z COMERCIAL LTDA;4712100;4302105;RS;SANTA HELENA
ZOOLIFE CLINICA VETERINARIA;7500100;4302105;RS;SAO ROQUE
VISUAL ANIMAL;4789004;4302105;RS;CENTRO
RECANTO PET;4789004;4302105;RS;UNIVERSITARIO
MERCADO POPULAR;4712100;4302105;RS;ZATT
GATIL PORTAL DOS SONHOS;0159802;4302105;RS;IMIGRANTE
PET DOCE FARO;9609208;4302105;RS;CIDADE ALTA
SUPERMERCADO DEMA LTDA.;4711302;4302105;RS;SANTA HELENA
CLINICA VETERINARIA COISA DE BICHO;7500100;4302105;RS;CENTRO
MERCADO OURO VERDE;4711302;4302105;RS;OURO VERDE
MINE MERCADO ALTAIR;4712100;4302105;RS;EUCALIPTOS
YESHUA DELICIAS SEM GLUTEN;4712100;4302105;RS;CIDADE ALTA
PET SHOP FRAMELLO;4789004;4302105;RS;UNIVERSITARIO
BICHO FOFUXO;4789004;4302105;RS;OURO VERDE
AMICI PET SPA;4789004;4302105;RS;SAO BENTO
JOBA PETS;4789004;4302105;RS;CIDADE ALTA
CASA DO QUEIJO BUONA TAVOLA;4712100;4302105;RS;SAO BENTO
CASA DE CARNES SAO VALENTIM;4712100;4302105;RS;SAO VALENTIN
LOJA BOTAFOGO;4789004;4302105;RS;BOTAFOGO
GREPAR SUPERMERCADO;4711302;4302105;RS;JARDIM GLORIA
SIMPATICAO CLINICA VETERINARIA;7500100;4302105;RS;CIDADE ALTA
PROMADE COMERCIAL DE PRODUTOS ALIMENTICIOS;4712100;4302105;RS;BARRACAO
QUATRO PATAS;4771704;4302105;RS;BOTAFOGO
CLINICA VETERINARIA SAO FRANCISCO DE ASSIS;7500100;4302105;RS;BOTAFOGO
PERSONAL GROOMER;9609208;4302105;RS;CIDADE ALTA
GP AGROPET;4789004;4302105;RS;FATIMA
FRUTEIRA E MERCADO SAO CRISTOVAO;4712100;4302105;RS;VILA NOVA
Pet Home;9609208;4302105;RS;SANTA MARTA
LUCKY BANHO E TOSA & PET SHOP;9609208;4302105;RS;SAO FRANCISCO
BAR E ARMAZEM BENVENUTTI;4712100;4302105;RS;SANTA RITA
Minimercado Meca;4712100;4302105;RS;VILA NOVA II
Mercado Renascer;4712100;4302105;RS;ZATT
VETIS CENTRO DE ANALISES VETERINARIAS;7500100;4302105;RS;BOTAFOGO
AFG SERVICOS VETERINARIOS;7500100;4302105;RS;BOTAFOGO
MERCADO CONCEICAO;4712100;4302105;RS;CONCEICAO
SAPECA PET;4789004;4302105;RS;OURO VERDE
MINI MERCADO E FRUTEIRA PONTO ECONOMICO;4712100;4302105;RS;VERONA
PET LUV;9609208;4302105;RS;BORGO
MERCADO MONTANHA DOS VINHEDOS;4712100;4302105;RS;SAO JOAO
CASA AGRICOLA AGRO IMPERIAL;4789004;4302105;RS;APARECIDA
BAR E ARMAZEM SAO ROQUE;4712100;4302105;RS;APARECIDA
SUPERMERCADO NUNES;4712100;4302105;RS;MUNICIPAL
SCHENATO ATELIE DE ESTETICA ANIMAL;9609208;4302105;RS;BOTAFOGO
JAIME;4712100;4302105;RS;MUNICIPAL
MINI MERCADO BAGE;4712100;4302105;RS;VILA NOVA II
PET DAS GURIAS;9609208;4302105;RS;OURO VERDE
TAIS;4712100;4302105;RS;EUCALIPTOS
OFERTACO DISTRIBUIDORA E LOGISTICA;4691500;4302105;RS;APARECIDA
AMIZADE ANIMAL;9609208;4302105;RS;OURO VERDE
CACHORRINHO DA MAE ESTETICA ANIMAL;9609208;4302105;RS;BOTAFOGO
MERCADO PORTO SECO;4712100;4302105;RS;VILA NOVA
AMICI PET SPA CUIDADO VETERINARIO;7500100;4302105;RS;CIDADE ALTA
SABOR DA FRUTA;4712100;4302105;RS;SANTA MARTA
VITOR HENRIQUE SOARES MATIAS;8011102;4302105;RS;MARIA GORETTI
WJ CARGA E DESCARGA;4789004;4302105;RS;PROGRESSO
E.P COMMERCE;4712100;4302105;RS;OURO VERDE
AR NUTRI DISTRIBUIDORA DE ALIMENTOS E BEBIDAS;4691500;4302105;RS;MARIA GORETTI
CANIL SHERLOK POMERANIAS DA SERRA;4789004;4302105;RS;MERLOT
TTPET;4789004;4302105;RS;PROGRESSO
SPA DOG GROOMER;9609208;4302105;RS;OURO VERDE
MERCADO DO JOAO;4712100;4302105;RS;VILA NOVA II
MERCADO OURO VERDE II;4711302;4302105;RS;UNIVERSITARIO
MERCADO OLIVEIRA;4712100;4302105;RS;VILA NOVA II
ALINE BANHO E TOSA;9609208;4302105;RS;LICORSUL
SUPERMERCADO GREPAR;4711302;4302105;RS;LICORSUL
CANTINHO DA FABI BANHO E TOSA;9609208;4302105;RS;VILA NOVA
MIKELI OLIVEIRA PET SALON;9609208;4302105;RS;LICORSUL
AMOR POR PATAS;9609208;4302105;RS;JUVENTUDE DA ENOLOGIA
CANTINA CASA DE PEDRA;4712100;4302105;RS;SAO VENDELINO
PET CANTINHO DA PRI / STUDIO LE CHARME;9609208;4302105;RS;PROGRESSO
ARMAZEM DI LORENZO;4712100;4302105;RS;SAO FRANCISCO
CALEB - PET SHOP;9609208;4302105;RS;HUMAITA
AGRO 360 AGRICULTURA NATURAL;4712100;4302105;RS;UNIVERSITARIO
TORNEDOR LOJA DE CARNES E EVENTOS;4712100;4302105;RS;CIDADE ALTA
SPA DO PET;9609208;4302105;RS;SAO BENTO
BRUNA MARTINS;9609208;4302105;RS;HUMAITA
AGRO PET BARTH;4789004;4302105;RS;BORGO
AGRO PET PROGRESSO;9609208;4302105;RS;PROGRESSO
DEITA E ROLA PET SHOP;9609208;4302105;RS;SANTA HELENA
AGROPET BICHARADA;4789004;4302105;RS;UNIVERSITARIO
GP AGROPET E FERRAGEM;4789004;4302105;RS;FATIMA
PET DA CHELY;4789004;4302105;RS;FATIMA
MINI MERCADO IMIGRANTE;4712100;4302105;RS;LICORSUL
MERCADO IPE;4711302;4302105;RS;MARIA GORETTI
BOMBOM PET;4789004;4302105;RS;CONCEICAO
VIA ECONOMIA ATACADISTA;4691500;4302105;RS;CIDADE ALTA
CELEIRO AGROCENTER;4789004;4302105;RS;SANTA HELENA
BELI PETS;9609208;4302105;RS;SAO BENTO
PETISCAO E PETISGATO;4789004;4302105;RS;CENTRO
FELICLINICA - MEDICINA FELINA;7500100;4302105;RS;CIDADE ALTA
BANHO E TOSA ALINE;9609208;4302105;RS;BOTAFOGO
MRKT SG;4712100;4302105;RS;HUMAITA
ROSA DE SARON COMERCIO DE CONFECCOES;4712100;4302105;RS;JARDIN GLORIA
ACAO SISTEMICA;4691500;4302105;RS;HUMAITA
MARINI BAR;4712100;4302105;RS;VILA NOVA
YLE LCP CRIOULO;0159802;4302105;RS;SALGADO
MINIMERCADO SEVERO;4712100;4302105;RS;MUNICIPAL
MERCADO IDEAL;4712100;4302105;RS;JUVENTUDE DA ENOLOGIA
ANTONIO MARINHO;9609207;4302105;RS;SAO ROQUE
MARGOT PET BOUTIQUE;4789004;4302105;RS;SAO BENTO
ESTACAO TERROIR;4712100;4302105;RS;CIDADE ALTA
SS ESTRUTURAS;4789004;4302105;RS;OURO VERDE
MERCADO SAO RAFAEL;4712100;4302105;RS;SAO ROQUE
MERCADO VILA NOVA;4712100;4302105;RS;VILA NOVA II
JC ACABAMENTOS;4789004;4302105;RS;CENTRO
FRUTAS E ALIMENTOS DA NATI;4712100;4302105;RS;POMAROSA
PET & GATO PET SHOP;9609208;4302105;RS;PROGRESSO
MELVI LUIGGI HOTEL E CRECHE ANIMAL;9609207;4302105;RS;FENAVINHO
MERCADO SAO ROQUE;4712100;4302105;RS;SAO ROQUE
FALCOES PROTETORES;9609207;4302105;RS;CENTRO
AU AU QUE MIA;4789004;4302105;RS;PROGRESSO
MERCADO BARATAO;4712100;4302105;RS;SAO VENDELINO
LOVELY PET SITTER;9609208;4302105;RS;UNIVERSITARIO
SUPERMERCADO IDEAL;4712100;4302105;RS;COHAB II
MINIMERCADO CARDOSO;4712100;4302105;RS;SANTA HELENA
SUPERMERCADOS APOLO;4711302;4302105;RS;SAO BENTO
SIMPATICAO PET SHOP;4789004;4302105;RS;BOTAFOGO
BAR E MERCADO ESTRELA;4712100;4302105;RS;SANTA HELENA IV
GREPAR SUPERMERCADO;4711302;4302105;RS;PROGRESSO
MERCAFRUTT;4712100;4302105;RS;ZATT
MINI MERCADO MARTINELLI;4712100;4302105;RS;CONCEICAO
MINI MERCADO CALIFORNIA;4712100;4302105;RS;CIDADE ALTA
PET SHOP PAIXAO ANIMAL;4789004;4302105;RS;CENTRO
VERDUREIRA AFONSO;4712100;4302105;RS;BORGO
MERCADO SILVEIRA;4712100;4302105;RS;EUCALIPTOS
COMERCIAL SCHULER;4712100;4302105;RS;OURO VERDE
BAR KINKAS;4712100;4302105;RS;CONCEICAO
PET BG;4789004;4302105;RS;CIDADE ALTA
CASA DE RACOES UNIVERSITARIO;4789004;4302105;RS;UNIVERSITARIO
RECANTO NATIVO;4789004;4302105;RS;PLANALTO
MINIMERCADO NICANOR;4712100;4302105;RS;VILA NOVA II
MERCADO E PADARIA ZORZETTO;4712100;4302105;RS;LICORSUL
BAR E ARMAZEM GAMILE;4712100;4302105;RS;BARRACAO
ESCRITORIO PIACENTINI;6920601;4302105;RS;SAO FRANCISCO
DICAS & MANIAS;4789001;4302105;RS;CENTRO
PAROQUIA SAO ROQUE;9491000;4302105;RS;SAO ROQUE
LOJAS COLOMBO;4753900;4302105;RS;CENTRO
TOMASI RH;7020400;4302105;RS;CIDADE ALTA
TECNOVIN DO BRASIL LTDA;1033301;4302105;RS;SEDE
CREA;9412001;4302105;RS;CIDADE ALTA
FUNERARIA REQUIEM E CAPELAS SAO JOSE;9603304;4302105;RS;BORGO
CASA DE CARNES RAZZERA;4722901;4302105;RS;JUVENTUDE DA ENOLOGIA
VINHEDOS EQUIPAMENTOS;4753900;4302105;RS;BOTAFOGO
CFC PUMA;8599601;4302105;RS;SAO BENTO
BANGALO ESTACAO CLUB;5611205;4302105;RS;PLANALTO
PHARMAJU;4771701;4302105;RS;FENAVINHO
ORGANIZACOES CONTABEIS MIGLIAVACCA;6920601;4302105;RS;CIDADE ALTA
ANDERLE TRANSPORTES;4930202;4302105;RS;SAO VALENTIN
VINOCAP HOTEL;5510801;4302105;RS;CENTRO
MECANICA SONZA & SCARDUELI.;4520001;4302105;RS;MARIA GORETTI
JORNAL SEMANARIO.;5822101;4302105;RS;FENAVINHO
METALURGICA BASSO;2840200;4302105;RS;VILA NOVA
ARTIER;3101200;4302105;RS;SAO ROQUE
DECORART;4619200;4302105;RS;BORGO
ASCOVE;9312300;4302105;RS;CIDADE ALTA
VERSADO;3103900;4302105;RS;LICORSUL
ABK;9319199;4302105;RS;UNIVERSITARIO
MOVEIS PERCASA;3101200;4302105;RS;SAO VALENTIN
COMERCIAL VIGNATTI;4781400;4302105;RS;JARDIM GLORIA
RUDY REPRESENTACOES;4754701;4302105;RS;CENTRO
METALURGICA LN;2592602;4302105;RS;VILA NOVA
BENNE FATTO INDUSTRIA DE MOVEIS;3101200;4302105;RS;PROGRESSO
MOVERGS;9411100;4302105;RS;FENAVINHO
PRATOMIL RESTAURANTES EMPRESARIAIS;5620101;4302105;RS;VINOSUL
DESPACHANTE BRANDELLI;8299799;4302105;RS;CIDADE ALTA
CAPPELLARI;4321500;4302105;RS;LINHA PASSO VELHO
BELMETAL;3102100;4302105;RS;VILA NOVA
ASSOCIACAO B. UNIVERSITARIO;9430800;4302105;RS;UNIVERSITARIO
CRIE ARTE - BIJOUX E AVIAMENTOS LTDA.;4789001;4302105;RS;CENTRO
BEM STAR IMOVEIS;4110700;4302105;RS;SAO ROQUE
JOCELIA SALETTE PELETTI PAGANI LANCHERIA;5611203;4302105;RS;JUVENTUDE
SM TRANSPORTES;4929902;4302105;RS;JUVENTUDE DA ENOLOGIA
LABOR - MATERIAIS DE CONSTRUCAO;4619200;4302105;RS;VISTA ALEGRE
MECANICA DE VILLA DIESEL;4520001;4302105;RS;SAO VALENTIN
CASA DE CARNES BENTO GONCALVES;4722901;4302105;RS;CIDADE ALTA
DEPARTAMENTO REGIONAL DO RIO GRANDE DO SUL;8599699;4302105;RS;CENTRO
