nome_fantasia;cnae_principal;municipio-id;estado-sigla;bairro
MIADOS E LATIDOS;9609208;4308607;RS;CAIRU
CASA GRANETTO MERCADO E CONVENIENCIA;4691500;4308607;RS;CENTRO
ATACAREIJO;4691500;4308607;RS;ALFANDEGA
MINIMERCADO SILVA;4712100;4308607;RS;LOTEAMENTO PARQUE FENACHAMP
PARAISO ANIMAL;9609208;4308607;RS;CENTRO
CLINICA VETERINARIA PET POR PET;7500100;4308607;RS;SANTA TEREZINHA
SERRANA AGROPET;4789004;4308607;RS;CENTRO
AGROPET LAR ANIMAL;4789004;4308607;RS;CHACARAS
MERCADO ALFANDEGA;4712100;4308607;RS;ALFANDEGA
AGROMAIS;4771704;4308607;RS;CENTRO
MINIMERCADO VALE VERDE;4712100;4308607;RS;VALE VERDE
MERCADO BALT'ANA;4712100;4308607;RS;VALE DOS PINHEIROS
ELDORADO;4789004;4308607;RS;TRES LAGOAS
MINIMERCADO BELA VISTA II;4712100;4308607;RS;BELA VISTA II
AGROPET FLORES;4789004;4308607;RS;CENTRO
GATO.CAO;9609208;4308607;RS;SAO FRANCISCO
CORAZZA DI ARGENTO;7500100;4308607;RS;SAO FRANCISCO
MERCADO GABY;4712100;4308607;RS;CENTRO
ARMAZEM SAO PEDRO;4712100;4308607;RS;CENTRO
BAR E LANCHERIA LOCATELLI;4712100;4308607;RS;CESA
AGROPET SAO FRANCISCO;4789004;4308607;RS;Sao Francisco
MINIMERCADO E ACOUGUE DO VALE;4712100;4308607;RS;VALE DOS PINHEIROS
COMERCIAL RUBIA;4712100;4308607;RS;CENTRO
RODRIGUES - TREINAMENTO E ASSESSORIA;7500100;4308607;RS;CENTRO
BAR DO BONITAO;4712100;4308607;RS;VALE VERDE
FOCINHOS & CIA;9609208;4308607;RS;CENTRO
CONECTA ASSESSORIA;7500100;4308607;RS;JUVENTUDE
MINIMERCADO E ACOUGUE AVENIDA;4712100;4308607;RS;SAO FRANCISCO
NICOLE SPILLER;9609208;4308607;RS;SAO MIGUEL
NPILGER;4789004;4308607;RS;BRASILIA
GVN - COMERCIO E DISTRIBUIDORA;4644302;4308607;RS;ALFANDEGA
CLINICA VETERINARIA BALDE CHEIO;7500100;4308607;RS;SAO ROQUE
CRESCITA;4623109;4308607;RS;PETERLONGO
SPA DO PET;9609208;4308607;RS;GUARANI
MEU AMIGO PET;4789004;4308607;RS;CENTRO
HOSPEDAGEM SAO ROQUE;9609208;4308607;RS;SAO ROQUE
AZEITES BELARDI F 1;4639702;4308607;RS;GARIBALDINA
COMERCIAL GRANETTO;4691500;4308607;RS;CENTRO
MINIMERCADO E ACOUGUE BELA VISTA;4712100;4308607;RS;BELA VISTA I
CASA AGRICOLA SAO LUCAS;4789004;4308607;RS;CENTRO
SPAZIO PET;4789004;4308607;RS;BORGHETTO
COMERCIAL PET;4789004;4308607;RS;CENTRO
MUNDO DAS DELICIAS;4712100;4308607;RS;SANTA TEREZINHA
DIG;4789004;4308607;RS;ALFANDEGA
CAO CIENCIA;9609207;4308607;RS;BRASILIA
BONNA MASSA ALIMENTOS;4712100;4308607;RS;FERROVIARIO
MAP;4712100;4308607;RS;CENTRO
SUPER DARTORA;4711302;4308607;RS;SAO FRANCISCO
CASA D AGUA;4712100;4308607;RS;CENTRO
MERCADO SAO LUCAS;4712100;4308607;RS;CENTRO
MERCADO NOVA GERACAO;4712100;4308607;RS;SAO JOSE
RABOS & BIGODES;4771704;4308607;RS;CENTRO
MERCADO MUNDIAL;4712100;4308607;RS;SAO FRANCISCO
REPUBLICA DO BICHO;9609208;4308607;RS;CENTRO
MERCADO P. DARTORA;4712100;4308607;RS;CHACARAS
CRESCIPET;4623109;4308607;RS;PETERLONGO
VETSERRA PRODUTOS VETERINARIOS LTDA;4771704;4308607;RS;CENTRO
PET LANGON;9609208;4308607;RS;CENTRO
AGROPET NOVO ELDORADO;4789004;4308607;RS;TRES LAGOAS
COMERCIAL BATATINHA;4712100;4308607;RS;CENTRO
IMCOLOSS;4712100;4308607;RS;CENTRO
AGROMIX;4789004;4308607;RS;TRES LAGOAS
NINA CONFEITARIA ARTESANAL;4712100;4308607;RS;CENTRO
PETTINE CONSULTORIA E ASSESSORIA LTDA - ME;7500100;4308607;RS;CENTRO
PET DOCE LAR;9609208;4308607;RS;SAO FRANCISCO
COMERCIAL GAVIRAGHI;4712100;4308607;RS;TRES LAGOAS
DIVAP AUTOMOTIVE;4530703;4308607;RS;INTEGRACAO
WA PINTURAS;4330404;4308607;RS;CHACARAS
CASA PETERLONGO;1112700;4308607;RS;CENTRO
SENIOR;2511000;4308607;RS;TAMANDARE
LESPORT;1412601;4308607;RS;CENTRO
ARMANDO ACOS;6810202;4308607;RS;CHACARAS
DONNA MODA CALCADOS E ACESSORIOS;4782201;4308607;RS;CENTRO
CONDOMINIO EDIFICIO CHAMPAGNAT;8112500;4308607;RS;CENTRO
FRUTEIRA SANTA TEREZINHA;4724500;4308607;RS;SANTA TEREZINHA
NAO HA;1112700;4308607;RS;SAO PANTALEAO
