nome_fantasia;cnae_principal;municipio-id;estado-sigla;bairro
ABM DISTRIBUIDORA;4771704;4305108;RS;MEDIANEIRA
DU ZIGNANI PET SITTER;9609208;4305108;RS;INTERLAGOS
AOMV;9609208;4305108;RS;NOSSA SENHORA DA SAUDE
MERCADO E FRUTEIRA VITORIO TRES;4712100;4305108;RS;NOSSA SENHORA DE FATIMA
MATEUS ESTETICA PET;9609208;4305108;RS;DIAMANTINO
CORUJOES CONVENIENCIA;4712100;4305108;RS;NOSSA SENHORA DE LOURDES
MERCADO LIMA;4712100;4305108;RS;SANTA CATARINA
MERCEARIA DA NENA;4712100;4305108;RS;NOSSA SENHORA DE FATIMA
LANCHERIA E RESTAURANTE BOSSA NOVA;4712100;4305108;RS;PIO X
HORTIFRUTI DA FAMILIA;4712100;4305108;RS;DESVIO RIZZO
LA MA LE DOGS;9609207;4305108;RS;JARDIM AMERICA
ABELU MIMOS- LF;4789004;4305108;RS;NOSSA SENHORA DE FATIMA
BRUNA BERTIN FENNER;7500100;4305108;RS;ESPLANADA
PRWEBER SERVICOS VETERINARIOS;7500100;4305108;RS;NOSSA SENHORA DE LOURDES
MERCEARIA TESTOLIN LTDA - FILIAL 1;4712100;4305108;RS;BELA VISTA
QUERIDO PET BANHO E TOSA;9609208;4305108;RS;CIDADE NOVA
MAISA MARQUES DUARTE;4789004;4305108;RS;SANTO ANTONIO
MINI MERCADO CHAVES;4712100;4305108;RS;PLANALTO
MERCADAO SANTOS DUMONTT;4711302;4305108;RS;SALGADO FILHO
MANIAS DE BICHOS;9609208;4305108;RS;UNIVERSITARIO
ROSI CONFEITARIA E CAFETERIA;4712100;4305108;RS;PIO X
VITALIPET CLINICA VETERINARIA;7500100;4305108;RS;SAO PELEGRINO
MJS COMERCIO ATACADISTA;4639702;4305108;RS;SAO LEOPOLDO
GEEKYPAWS;9609208;4305108;RS;FORQUETA
ROTA DOCE;4712100;4305108;RS;SANTA FE
AMOR DE BICHO;9609208;4305108;RS;PRESIDENTE VARGAS
MINI MERCADO PACHECO;4712100;4305108;RS;CRUZEIRO
PADARIA MARIENSE;4712100;4305108;RS;SAO CAETANO
AGROPECUARIA DANELUZ;4789004;4305108;RS;CRUZEIRO
MINI MERCADO TELES;4712100;4305108;RS;SAO VICTOR COHAB
SACOLAO OASIS;4711302;4305108;RS;NOSSA SENHORA DO ROSARIO
MERCEARIA CONQUISTA;4712100;4305108;RS;SANTA CORONA
ESPECO PETS;4789004;4305108;RS;SANTO ANTONIO
PETLIZ;9609208;4305108;RS;CHARQUEADAS
AGROJV;4789004;4305108;RS;SANTA FE
